TAXON_NAME
Animalia
Plantae
Fungi
Protist
Archaea/Archaebacteria
Bacteria/Eubacteria
Anthocerotophyta
Bryophyta
Charophyta
Chlorophyta
Cycadophyta
Ginkgophyta
Glaucophyta
Gnetophyta
Lycopodiophyta (Lycophyta)
Magnoliophyta (Anthophyta)
Marchantiophyta (Hepatophyta)
Pinophyta (Coniferophyta)
Polypodiophyta (Monilophyta)
Porifera
Coelenterata (Cnidaria)
Platyhelminthes
Nematoda
Annelida
Arthropoda
Mollusca
Echinodermata
Hemichordata
Chordata
Ascomycota
Basidiomycota
Blastocladiomycota
Chytridiomycota
Glomeromycota
Microsporidia
Neocallimastigomycota
Euglenozoa
Alveolata
Stramenopiles (Heterokonta)
Rhizaria
Amoebozoa
Chromalveolata
Euryarchaeota
Firmicutes
Proteobacteria
Actinobacteria
Bacteroidetes
Cyanobacteria
Spirochetes
Chlamydiae
Aves
Fish
Reptilia
Mammalia
Amphibia
Monoplacophora
Polyplacophora
Bivalvia
Gastropoda
Cephalopoda
Scaphopoda
Dothideomycetes
Eurotiomycetes
Leotiomycetes
Pezizomycetes
Sordariomycetes
Saccharomycetes
Taphrinomycetes
Laboulbeniomycetes
Passeriformes
Anseriformes
Galliformes
Columbiformes
Accipitriformes
Strigiformes
Falconiformes
Charadriiformes
Psittaciformes
Salmoniformes
Perciformes
Siluriformes
Cypriniformes
Gadiformes
Scorpaeniformes
Pleuronectiformes
Tetraodontiformes
Anguilliformes
Clupeiformes
Squamata
Testudines
Crocodilia
Rhynchocephalia
Rodentia
Chiroptera
Carnivora
Primates
Artiodactyla
Cetacea
Perissodactyla
Lagomorpha
Soricomorpha
Proboscidea
Anura
Caudata
Gymnophiona
Crocodylidae
Alligatoridae
Gavialidae
Canidae
Felidae
Ursidae
Mustelidae
Procyonidae
Hyaenidae
Otariidae
Phocidae
Odobenidae
Ailuridae
Hominidae
Cercopithecidae
Callitrichidae
Hylobatidae
Lemuridae
Lorisidae
Atelidae
Tarsiidae
Ochotonidae 
Leporidae
Ambystomatidae
Plethodontidae
Salamandridae
Muridae
Cricetidae
Sciuridae
Castoridae
Heteromyidae
Dipodidae
Erethizontidae
Geomyidae
Myocastoridae
Octodontidae
Pteropodidae
Vespertilionidae
Rhinolophidae
Phyllostomidae
Molossidae
Emballonuridae
Megadermatidae
Nycteridae
Miniopteridae
Rhinopomatidae
Acanthisittidae
Aegithalidae
Alaudidae
Bombycillidae
Certhiidae
Corvidae
Estrildidae
Fringillidae
Hirundinidae
Muscicapidae
Crocodylus
Aconaemys
Octodon
Octomys
Tympanoctomys
Leopardus
Panthera
Canis
Atelocynus
Cerdocyon
Chrysocyon
Speothos
Lycalopex 
Hesperiphona
Viridonia sagittirostris
Hesperiphona vespertina
Hesperiphona abellei
Aureus
Latrans
Microtis
Thous
Fuscus
Porteri
Bridgesi
Degus
